G_Date,G_Q,G_cd,L_Date,L_Q,L_cd ,VG_Date,VG_Q,VG_cd,WOB_Date,WOB_Q,WOB_cd
1/1/2023,37.2,A ,1/15/2023,72.4,A:e ,1/15/2023,29.2,A:e ,1/1/2023,55.7,A:e 
1/1/2023,40.3,A ,1/16/2023,71.7,A:e ,1/16/2023,29,A:e ,1/1/2023,68.6,A:e 
1/1/2023,41.9,A ,1/16/2023,70.7,A:e ,1/16/2023,28.7,A:e ,1/1/2023,71.6,A:e 
1/1/2023,45.3,A ,1/17/2023,69.9,A:e ,1/17/2023,28.5,A:e ,1/1/2023,68.1,A 
1/1/2023,47.9,A ,1/17/2023,69.3,A:e ,1/17/2023,28.2,A:e ,1/1/2023,68.3,A 
1/1/2023,50.7,A ,1/18/2023,69,A:e ,1/18/2023,27.9,A:e ,1/1/2023,68.3,A 
1/1/2023,52.6,A ,1/18/2023,68.6,A:e ,1/18/2023,27.6,A:e ,1/1/2023,66.8,A 
1/1/2023,55.6,A ,1/19/2023,68,A:e ,1/19/2023,27.4,A:e ,1/1/2023,65.4,A 
1/1/2023,58.7,A ,1/19/2023,67.2,A:e ,1/19/2023,27.2,A:e ,1/1/2023,65.4,A 
1/1/2023,60.9,A ,1/20/2023,66.3,A:e ,1/20/2023,27.1,A:e ,1/1/2023,64,A 
1/1/2023,64.3,A ,1/20/2023,65.9,A:e ,1/20/2023,27,A:e ,1/1/2023,62.6,A 
1/1/2023,66.7,A ,1/21/2023,65.7,A:e ,1/21/2023,26.9,A:e ,1/1/2023,61.2,A 
1/1/2023,67.9,A ,1/21/2023,65.3,A:e ,1/21/2023,26.9,A:e ,1/1/2023,61.2,A 
1/1/2023,67.9,A ,1/22/2023,64.7,A:e ,1/22/2023,26.8,A:e ,1/1/2023,59.8,A 
1/1/2023,71.7,A ,1/22/2023,64.1,A:e ,1/22/2023,26.7,A:e ,1/1/2023,58.4,A 
1/1/2023,71.7,A ,1/23/2023,63.5,A:e ,1/23/2023,26.6,A:e ,1/1/2023,58.4,A 
1/1/2023,72.9,A ,1/23/2023,63.1,A:e ,1/23/2023,26.6,A:e ,1/1/2023,57.1,A 
1/1/2023,72.9,A ,1/24/2023,62.7,A:e ,1/24/2023,26.5,A:e ,1/1/2023,57.1,A 
1/1/2023,71.7,A ,1/24/2023,62.3,A:e ,1/24/2023,26.4,A:e ,1/1/2023,55.8,A 
1/1/2023,71.7,A ,1/25/2023,61.9,A:e ,1/25/2023,26.2,A:e ,1/1/2023,55.8,A 
1/1/2023,71.7,A ,1/25/2023,61.3,A:e ,1/25/2023,26,A:e ,1/1/2023,55.8,A 
1/1/2023,67.9,A ,1/26/2023,60.8,A:e ,1/26/2023,25.8,A:e ,1/1/2023,55.8,A 
1/1/2023,65.5,A ,1/26/2023,60.4,A:e ,1/26/2023,25.7,A:e ,1/1/2023,54.5,A 
1/1/2023,65.5,A ,1/27/2023,60.1,A:e ,1/27/2023,25.6,A:e ,1/1/2023,54.5,A 
1/1/2023,64.3,A ,1/27/2023,59.8,A:e ,1/27/2023,25.5,A:e ,1/1/2023,53.2,A 
1/1/2023,62,A ,1/28/2023,59.6,A:e ,1/28/2023,25.3,A:e ,1/1/2023,54.5,A 
1/1/2023,60.9,A ,1/28/2023,59.4,A:e ,1/28/2023,25.3,A:e ,1/1/2023,54.5,A 
1/1/2023,58.7,A ,1/29/2023,59.1,A:e ,1/29/2023,25.2,A:e ,1/1/2023,53.2,A 
1/1/2023,57.7,A ,1/29/2023,58.6,A:e ,1/29/2023,25.1,A:e ,1/1/2023,51.9,A 
1/1/2023,58.7,A ,1/30/2023,58.1,A:e ,1/30/2023,25,A:e ,1/1/2023,53.2,A 
1/1/2023,56.6,A ,1/30/2023,57.8,A:e ,1/30/2023,24.9,A:e ,1/1/2023,51.9,A 
1/1/2023,55.6,A ,1/31/2023,57.5,A:e ,1/31/2023,24.8,A:e ,1/1/2023,53.2,A 
1/1/2023,54.6,A ,1/31/2023,57.3,A:e ,1/31/2023,24.6,A:e ,1/1/2023,53.2,A 
1/1/2023,53.6,A ,2/1/2023,57.2,A:e ,2/1/2023,24.4,A:e ,1/1/2023,53.2,A 
1/1/2023,53.6,A ,2/1/2023,57,A:e ,2/1/2023,24.1,A:e ,1/1/2023,53.2,A 
1/1/2023,52.6,A ,2/2/2023,56.9,A:e ,2/2/2023,24,A:e ,1/1/2023,53.2,A 
1/1/2023,51.7,A ,2/2/2023,56.8,A:e ,2/2/2023,23.8,A:e ,1/1/2023,54.5,A 
1/1/2023,50.7,A ,2/3/2023,56.6,A:e ,2/3/2023,23.7,A:e ,1/1/2023,53.2,A 
1/1/2023,49.8,A ,2/3/2023,56.5,A:e ,2/3/2023,23.6,A:e ,1/1/2023,53.2,A 
1/1/2023,50.7,A ,2/4/2023,56.4,A:e ,2/4/2023,23.5,A:e ,1/1/2023,54.5,A 
1/1/2023,49.8,A ,2/4/2023,56.3,A:e ,2/4/2023,23.5,A:e ,1/1/2023,54.5,A 
1/1/2023,49.8,A ,2/5/2023,56.2,A:e ,2/5/2023,23.4,A:e ,1/1/2023,54.5,A 
1/1/2023,49.8,A ,2/5/2023,56.1,A:e ,2/5/2023,23.3,A:e ,1/1/2023,54.5,A 
1/1/2023,49.8,A ,2/6/2023,56,A:e ,2/6/2023,23.1,A:e ,1/1/2023,53.2,A 
1/1/2023,49.8,A ,2/6/2023,56,A:e ,2/6/2023,23.1,A:e ,1/1/2023,53.2,A 
1/1/2023,49.8,A ,2/7/2023,55.9,A:e ,2/7/2023,22.9,A:e ,1/1/2023,53.2,A 
1/1/2023,50.7,A ,2/7/2023,55.8,A:e ,2/7/2023,22.8,A:e ,1/1/2023,53.2,A 
1/1/2023,49.8,A ,2/8/2023,55.7,A:e ,2/8/2023,22.7,A:e ,1/1/2023,53.2,A 
1/1/2023,49.8,A ,2/8/2023,55.6,A:e ,2/8/2023,22.5,A:e ,1/1/2023,51.9,A 
1/1/2023,49.8,A ,2/9/2023,55.5,A:e ,2/9/2023,22.4,A:e ,1/1/2023,53.2,A 
1/1/2023,48.8,A ,2/9/2023,55.5,A:e ,2/9/2023,22.3,A:e ,1/1/2023,53.2,A 
1/1/2023,48.8,A ,2/10/2023,55.5,A:e ,2/10/2023,22.3,A:e ,1/1/2023,53.2,A 
1/1/2023,48.8,A ,2/10/2023,55.4,A:e ,2/10/2023,22.2,A:e ,1/1/2023,53.2,A 
1/1/2023,48.8,A ,2/11/2023,55.4,A:e ,2/11/2023,22,A:e ,1/1/2023,53.2,A 
1/1/2023,48.8,A ,2/11/2023,55.3,A:e ,2/11/2023,21.9,A:e ,1/1/2023,53.2,A 
1/1/2023,48.8,A ,2/12/2023,55.3,A:e ,2/12/2023,21.8,A:e ,1/2/2023,54.5,A 
1/1/2023,49.8,A ,2/12/2023,55.3,A:e ,2/12/2023,21.7,A:e ,1/2/2023,54.5,A 
1/1/2023,49.8,A ,2/13/2023,55.2,A:e ,2/13/2023,21.5,A:e ,1/2/2023,55.8,A 
1/1/2023,50.7,A ,2/13/2023,55.2,A:e ,2/13/2023,21.4,A:e ,1/2/2023,55.8,A 
1/1/2023,49.8,A ,2/14/2023,55.1,A:e ,2/14/2023,21.2,A:e ,1/2/2023,57.1,A 
1/1/2023,50.7,A ,2/14/2023,55.1,A:e ,2/14/2023,21.2,A:e ,1/2/2023,57.1,A 
1/1/2023,49.8,A ,2/15/2023,55.1,A:e ,2/15/2023,21.1,A:e ,1/2/2023,57.1,A 
1/1/2023,50.7,A ,2/15/2023,55,A:e ,2/15/2023,21,A:e ,1/2/2023,57.1,A 
1/1/2023,50.7,A ,2/16/2023,55,A:e ,2/16/2023,20.8,A:e ,1/2/2023,57.1,A 
1/1/2023,51.7,A ,2/16/2023,55,A:e ,2/16/2023,20.7,A:e ,1/2/2023,57.1,A 
1/1/2023,51.7,A ,2/17/2023,54.9,A:e ,2/17/2023,20.6,A:e ,1/2/2023,55.8,A 
1/1/2023,51.7,A ,2/17/2023,54.9,A:e ,2/17/2023,20.4,A:e ,1/2/2023,55.8,A 
1/2/2023,52.6,A ,2/18/2023,54.9,A:e ,2/18/2023,20.3,A:e ,1/2/2023,55.8,A 
1/2/2023,52.6,A ,2/18/2023,54.9,A:e ,2/18/2023,20.2,A:e ,1/2/2023,55.8,A 
1/2/2023,53.6,A ,2/19/2023,54.8,A:e ,2/19/2023,19.9,A:e ,1/2/2023,54.5,A 
1/2/2023,51.7,A ,2/19/2023,54.8,A:e ,2/19/2023,19.8,A:e ,1/2/2023,54.5,A 
1/2/2023,51.7,A ,2/20/2023,54.8,A:e ,2/20/2023,19.7,A:e ,1/2/2023,53.2,A 
1/2/2023,51.7,A ,2/20/2023,54.7,A:e ,2/20/2023,19.5,A:e ,1/2/2023,54.5,A 
1/2/2023,50.7,A ,2/21/2023,54.7,A:e ,2/21/2023,19.4,A:e ,1/2/2023,53.2,A 
1/2/2023,49.8,A ,2/21/2023,54.7,A:e ,2/21/2023,19.3,A:e ,1/2/2023,53.2,A 
1/2/2023,49.8,A ,2/22/2023,54.6,A:e ,2/22/2023,19.3,A:e ,1/2/2023,53.2,A 
1/2/2023,47.9,A ,2/22/2023,54.6,A:e ,2/22/2023,19.2,A:e ,1/2/2023,51.9,A 
1/2/2023,47.9,A ,2/23/2023,54.5,A:e ,2/23/2023,19,A:e ,1/2/2023,51.9,A 
1/2/2023,47,A ,2/23/2023,54.5,A:e ,2/23/2023,18.9,A:e ,1/2/2023,50.6,A 
1/2/2023,46.1,A ,2/24/2023,54.5,A:e ,2/24/2023,18.8,A:e ,1/2/2023,50.6,A 
1/2/2023,45.3,A ,2/24/2023,54.4,A:e ,2/24/2023,18.7,A:e ,1/2/2023,50.6,A 
1/2/2023,45.3,A ,2/25/2023,54.4,A:e ,2/25/2023,18.5,A:e ,1/2/2023,49.3,A 
1/2/2023,44.4,A ,2/25/2023,54.4,A:e ,2/25/2023,18.3,A:e ,1/2/2023,49.3,A 
1/2/2023,43.6,A ,2/26/2023,54.3,A:e ,2/26/2023,18.2,A:e ,1/2/2023,49.4,A 
1/2/2023,43.6,A ,2/26/2023,54.3,A:e ,2/26/2023,18.1,A:e ,1/2/2023,49.4,A 
1/2/2023,42.7,A ,2/27/2023,54.3,A:e ,2/27/2023,18,A:e ,1/2/2023,49.4,A 
1/2/2023,41.9,A ,2/27/2023,54.2,A:e ,2/27/2023,18,A:e ,1/2/2023,49.4,A 
1/2/2023,41.9,A ,2/28/2023,54.2,A:e ,2/28/2023,17.9,A:e ,1/2/2023,49.4,A 
1/2/2023,41.1,A ,2/28/2023,54.1,A:e ,2/28/2023,17.8,A:e ,1/2/2023,49.4,A:e 
1/2/2023,40.3,A ,3/1/2023,54.1,A:e ,3/1/2023,17.7,A:e ,1/2/2023,49.4,A:e 
1/2/2023,40.3,A ,3/1/2023,54,A:e ,3/1/2023,17.6,A:e ,1/2/2023,49.4,A 
1/2/2023,39.5,A ,3/2/2023,54,A:e ,3/2/2023,17.6,A:e ,1/2/2023,49.4,A 
1/2/2023,39.5,A ,3/2/2023,54,A:e ,3/2/2023,17.5,A:e ,1/2/2023,48.1,A 
1/2/2023,39.5,A ,3/3/2023,54,A:e ,3/3/2023,17.4,A:e ,1/2/2023,49.4,A 
1/2/2023,40.3,A ,3/3/2023,54,A:e ,3/3/2023,17.3,A:e ,1/2/2023,48.1,A 
1/2/2023,40.3,A ,3/4/2023,53.9,A:e ,3/4/2023,17.2,A:e ,1/2/2023,48.1,A 
1/2/2023,40.3,A ,3/4/2023,53.9,A:e ,3/4/2023,17.1,A:e ,1/2/2023,48.1,A 
1/2/2023,40.3,A ,3/5/2023,53.9,A:e ,3/5/2023,16.9,A:e ,1/2/2023,48.1,A 
1/2/2023,40.3,A ,3/5/2023,53.9,A:e ,3/5/2023,16.8,A:e ,1/2/2023,46.9,A 
1/2/2023,41.1,A ,3/6/2023,53.9,A:e ,3/6/2023,16.7,A:e ,1/2/2023,46.9,A 
1/2/2023,41.9,A ,3/6/2023,53.9,A:e ,3/6/2023,16.6,A:e ,1/2/2023,46.9,A 
1/2/2023,41.1,A ,3/7/2023,53.8,A:e ,3/7/2023,16.6,A:e ,1/2/2023,46.9,A 
1/2/2023,41.9,A ,3/7/2023,53.8,A:e ,3/7/2023,16.5,A:e ,1/2/2023,46.9,A 
1/2/2023,41.9,A ,3/8/2023,53.8,A:e ,3/8/2023,16.4,A:e ,1/2/2023,45.7,A 
1/2/2023,41.1,A ,3/8/2023,53.8,A:e ,3/8/2023,16.3,A:e ,1/2/2023,45.7,A 
1/2/2023,41.1,A ,3/9/2023,53.7,A:e ,3/9/2023,16.2,A:e ,1/2/2023,45.7,A 
1/2/2023,41.1,A ,3/9/2023,53.7,A:e ,3/9/2023,16.2,A:e ,1/2/2023,45.7,A 
1/2/2023,40.3,A ,3/10/2023,53.7,A:e ,3/10/2023,16.1,A:e ,1/2/2023,45.7,A 
1/2/2023,40.3,A ,3/10/2023,53.7,A:e ,3/10/2023,16,A:e ,1/2/2023,45.7,A 
1/2/2023,40.3,A ,3/11/2023,53.7,A:e ,3/11/2023,15.9,A:e ,1/2/2023,45.7,A 
1/2/2023,39.5,A ,3/11/2023,53.6,A:e ,3/11/2023,15.9,A:e ,1/2/2023,45.7,A 
1/2/2023,39.5,A ,3/12/2023,53.6,A:e ,3/12/2023,15.9,A:e ,1/2/2023,45.7,A 
1/2/2023,38.7,A ,3/12/2023,53.6,A:e ,3/12/2023,15.8,A:e ,1/2/2023,44.5,A 
1/2/2023,38.7,A ,3/13/2023,53.5,A:e ,3/13/2023,15.8,A:e ,1/2/2023,45.7,A 
1/2/2023,38,A ,3/13/2023,53.5,A:e ,3/13/2023,15.8,A:e ,1/2/2023,45.7,A 
1/2/2023,38,A ,3/14/2023,53.5,A:e ,3/14/2023,15.7,A:e ,1/2/2023,45.7,A 
1/2/2023,38,A ,3/14/2023,53.4,A:e ,3/14/2023,15.6,A:e ,1/2/2023,45.7,A 
1/2/2023,37.2,A ,3/15/2023,53.4,A:e ,3/15/2023,15.6,A:e ,1/2/2023,44.5,A 
1/2/2023,37.2,A ,3/15/2023,53.4,A:e ,3/15/2023,15.5,A:e ,1/2/2023,44.5,A 
1/2/2023,37.2,A ,3/16/2023,53.3,A:e ,3/16/2023,15.5,A:e ,1/2/2023,43.3,A 
1/2/2023,36.5,A ,3/16/2023,53.3,A:e ,3/16/2023,15.4,A:e ,1/2/2023,44.5,A 
1/2/2023,36.5,A ,3/17/2023,53.3,A:e ,3/17/2023,15.4,A:e ,1/2/2023,44.5,A 
1/2/2023,35.7,A ,3/17/2023,53.2,A:e ,3/17/2023,15.3,A:e ,1/2/2023,44.5,A 
1/2/2023,35,A ,3/18/2023,53.2,A:e ,3/18/2023,15.3,A:e ,1/2/2023,43.3,A 
1/2/2023,35,A ,3/18/2023,53.2,A:e ,3/18/2023,15.3,A:e ,1/2/2023,43.3,A 
1/2/2023,35,A ,3/19/2023,53.1,A:e ,3/19/2023,15.2,A:e ,1/2/2023,43.3,A 
1/2/2023,35,A ,3/19/2023,53.1,A:e ,3/19/2023,15.2,A:e ,1/2/2023,43.3,A 
1/2/2023,34.3,A ,3/20/2023,53.1,A:e ,3/20/2023,15.2,A:e ,1/2/2023,42.1,A 
1/2/2023,33.6,A ,3/20/2023,53.1,A:e ,3/20/2023,15.1,A:e ,1/2/2023,42.1,A 
1/2/2023,33.6,A ,3/21/2023,53.1,A:e ,3/21/2023,15.1,A:e ,1/2/2023,42.1,A 
1/2/2023,33.6,A ,3/21/2023,53.1,A:e ,3/21/2023,15.1,A:e ,1/2/2023,42.1,A 
1/2/2023,32.9,A ,3/22/2023,53.1,A:e ,3/22/2023,15.1,A:e ,1/2/2023,40.9,A 
1/2/2023,32.2,A ,3/22/2023,53.1,A:e ,3/22/2023,15.1,A:e ,1/2/2023,40.9,A 
1/2/2023,32.2,A ,3/23/2023,53.1,A:e ,3/23/2023,15.1,A:e ,1/2/2023,40.9,A 
1/2/2023,31.6,A ,3/23/2023,53.1,A:e ,3/23/2023,15.1,A:e ,1/2/2023,39.7,A 
1/2/2023,31.6,A ,3/24/2023,53.1,A:e ,3/24/2023,15.1,A:e ,1/2/2023,39.7,A 
1/2/2023,30.9,A ,3/24/2023,53.1,A:e ,3/24/2023,15.1,A:e ,1/2/2023,39.7,A 
1/2/2023,30.9,A ,3/25/2023,53.1,A:e ,3/25/2023,15.1,A:e ,1/3/2023,39.7,A 
1/2/2023,30.3,A ,3/25/2023,53.1,A:e ,3/25/2023,15.1,A:e ,1/3/2023,39.7,A 
1/2/2023,30.3,A ,3/26/2023,53.1,A:e ,3/26/2023,15.1,A:e ,1/3/2023,38.6,A 
1/2/2023,30.3,A ,3/26/2023,53.1,A:e ,3/26/2023,15.1,A:e ,1/3/2023,38.6,A 
1/2/2023,29.6,A ,3/27/2023,53.1,A:e ,3/27/2023,15.2,A:e ,1/3/2023,38.6,A 
1/2/2023,29,A ,3/27/2023,53.1,A:e ,3/27/2023,15.2,A:e ,1/3/2023,38.6,A 
1/2/2023,28.4,A ,3/28/2023,53.1,A:e ,3/28/2023,15.2,A:e ,1/3/2023,37.4,A 
1/2/2023,28.4,A ,3/28/2023,53,A:e ,3/28/2023,15.3,A:e ,1/3/2023,37.4,A 
1/2/2023,27.8,A ,3/29/2023,53,A:e ,3/29/2023,15.3,A:e ,1/3/2023,37.4,A 
1/2/2023,27.8,A ,3/29/2023,53,A:e ,3/29/2023,15.3,A:e ,1/3/2023,37.4,A 
1/2/2023,27.8,A ,3/30/2023,53,A:e ,3/30/2023,15.3,A:e ,1/3/2023,37.4,A 
1/2/2023,27.2,A ,3/30/2023,53,A:e ,3/30/2023,15.3,A:e ,1/3/2023,36.3,A 
1/2/2023,27.2,A ,3/31/2023,53,A:e ,3/31/2023,15.3,A:e ,1/3/2023,36.3,A 
1/2/2023,26.6,A ,3/31/2023,53,A:e ,3/31/2023,15.3,A:e ,1/3/2023,35.2,A 
1/2/2023,26.6,A ,4/1/2023,53,A:e ,4/1/2023,15.4,A:e ,1/3/2023,35.2,A 
1/2/2023,26,A ,4/1/2023,53,A:e ,4/1/2023,15.4,A:e ,1/3/2023,35.2,A 
1/2/2023,25.5,A ,4/2/2023,53,A:e ,4/2/2023,15.4,A:e ,1/3/2023,35.2,A 
1/2/2023,25.5,A ,4/2/2023,53,A:e ,4/2/2023,15.4,A:e ,1/3/2023,34.1,A 
1/2/2023,25.5,A ,4/3/2023,53,A:e ,4/3/2023,15.4,A:e ,1/3/2023,34.1,A 
1/2/2023,25.5,A ,4/3/2023,53,A:e ,4/3/2023,15.4,A:e ,1/3/2023,34.1,A 
1/2/2023,24.9,A ,4/4/2023,53,A:e ,4/4/2023,15.4,A:e ,1/3/2023,34.1,A 
1/2/2023,24.4,A ,4/4/2023,53,A:e ,4/4/2023,15.4,A:e ,1/3/2023,34.1,A 
1/2/2023,24.4,A ,4/5/2023,53,A:e ,4/5/2023,15.3,A:e ,1/3/2023,34.1,A 
1/2/2023,23.8,A ,4/5/2023,53,A:e ,4/5/2023,15.3,A:e ,1/3/2023,34.1,A 
1/2/2023,23.3,A ,4/6/2023,53,A:e ,4/6/2023,15.3,A:e ,1/3/2023,34.1,A 
1/2/2023,23.3,A ,4/6/2023,53,A:e ,4/6/2023,15.3,A:e ,1/3/2023,34.1,A 
1/3/2023,23.3,A ,4/7/2023,53,A:e ,4/7/2023,15.3,A:e ,1/3/2023,33,A 
1/3/2023,22.8,A ,4/7/2023,53,A:e ,4/7/2023,15.4,A:e ,1/3/2023,33,A 
1/3/2023,22.8,A ,4/8/2023,53,A:e ,4/8/2023,15.4,A:e ,1/3/2023,33,A 
1/3/2023,22.8,A ,4/8/2023,53,A:e ,4/8/2023,15.4,A:e ,1/3/2023,31.9,A 
1/3/2023,22.3,A ,4/9/2023,53,A:e ,4/9/2023,15.4,A:e ,1/3/2023,31.9,A 
1/3/2023,22.3,A ,4/9/2023,53,A:e ,4/9/2023,15.4,A:e ,1/3/2023,31.9,A 
1/3/2023,21.8,A ,4/10/2023,53,A:e ,4/10/2023,15.4,A:e ,1/3/2023,31.9,A 
1/3/2023,21.8,A ,4/10/2023,53,A:e ,4/10/2023,15.4,A:e ,1/3/2023,31.9,A 
1/3/2023,21.3,A ,4/11/2023,53,A:e ,4/11/2023,15.5,A:e ,1/3/2023,31.9,A 
1/3/2023,21.3,A ,4/11/2023,53,A:e ,4/11/2023,15.6,A:e ,1/3/2023,30.9,A 
1/3/2023,20.8,A ,4/12/2023,53,A:e ,4/12/2023,15.6,A:e ,1/3/2023,29.8,A:e 
1/3/2023,20.8,A ,4/12/2023,53,A:e ,4/12/2023,15.6,A:e ,1/3/2023,28.8,A 
1/3/2023,20.8,A ,4/13/2023,53,A:e ,4/13/2023,15.6,A:e ,1/3/2023,28.8,A 
1/3/2023,20.3,A ,4/13/2023,53,A:e ,4/13/2023,15.6,A:e ,1/3/2023,27.8,A 
1/3/2023,20.3,A ,4/14/2023,53,A:e ,4/14/2023,15.6,A:e ,1/3/2023,27.8,A 
1/3/2023,20.3,A ,4/14/2023,53,A:e ,4/14/2023,15.6,A:e ,1/3/2023,27.8,A 
1/3/2023,19.9,A ,4/15/2023,53,A:e ,4/15/2023,15.6,A:e ,1/3/2023,27.8,A 
1/3/2023,19.4,A ,4/15/2023,53,A:e ,4/15/2023,15.7,A:e ,1/3/2023,27.8,A 
1/3/2023,19.4,A ,4/16/2023,53,A:e ,4/16/2023,15.7,A:e ,1/3/2023,27.8,A 
1/3/2023,19.4,A ,4/16/2023,53,A:e ,4/16/2023,16,A:e ,1/3/2023,26.8,A 
1/3/2023,18.9,A ,4/17/2023,53.2,A:e ,4/17/2023,16.6,A:e ,1/3/2023,26.8,A 
1/3/2023,18.9,A ,4/17/2023,53.4,A:e ,4/17/2023,17,A:e ,1/3/2023,26.8,A 
1/3/2023,18.5,A ,4/18/2023,53.6,A:e ,4/18/2023,17.4,A:e ,1/3/2023,26.8,A 
1/3/2023,18.5,A ,4/18/2023,53.8,A:e ,4/18/2023,18.1,A:e ,1/3/2023,26.8,A 
1/3/2023,18.5,A ,4/19/2023,54,A:e ,4/19/2023,19.4,A:e ,1/3/2023,26.8,A 
1/3/2023,18.5,A ,4/19/2023,54.1,A:e ,4/19/2023,20.5,A:e ,1/3/2023,26.8,A 
1/3/2023,18.1,A ,4/20/2023,54.2,A:e ,4/20/2023,21.6,A:e ,1/3/2023,25.8,A 
1/3/2023,18.1,A ,4/20/2023,54.3,A:e ,4/20/2023,23.4,A:e ,1/3/2023,25.8,A 
1/3/2023,17.6,A ,4/21/2023,54.3,A:e ,4/21/2023,25,A:e ,1/3/2023,25.8,A 
1/3/2023,17.6,A ,4/21/2023,54.4,A:e ,4/21/2023,27.5,A:e ,1/3/2023,25.8,A 
1/3/2023,17.6,A ,4/22/2023,54.5,A:e ,4/22/2023,29.1,A:e ,1/3/2023,25.8,A 
1/3/2023,17.2,A ,4/22/2023,54.6,A:e ,4/22/2023,30.3,A:e ,1/3/2023,24.9,A 
1/3/2023,17.2,A ,4/23/2023,54.8,A:e ,4/23/2023,31.2,A:e ,1/3/2023,24.9,A 
1/3/2023,17.2,A ,4/23/2023,55,A:e ,4/23/2023,32.3,A:e ,1/3/2023,24.9,A 
1/3/2023,16.8,A ,4/24/2023,55.1,A:e ,4/24/2023,33.5,A:e ,1/3/2023,24.9,A 
1/3/2023,16.8,A ,4/24/2023,55.4,A:e ,4/24/2023,34.3,A:e ,1/3/2023,24.9,A 
1/3/2023,16.4,A ,4/25/2023,55.7,A:e ,4/25/2023,34.8,A:e ,1/3/2023,24.9,A 
1/3/2023,16.4,A ,4/25/2023,55.9,A:e ,4/25/2023,34.9,A:e ,1/3/2023,23.9,A 
1/3/2023,16.4,A ,4/26/2023,56.2,A:e ,4/26/2023,35,A:e ,1/3/2023,24.9,A 
1/3/2023,16.4,A ,4/26/2023,56.4,A:e ,4/26/2023,35.4,A:e ,1/3/2023,23.9,A 
1/3/2023,16,A ,4/27/2023,56.8,A:e ,4/27/2023,35.7,A:e ,1/3/2023,23.9,A 
1/3/2023,16,A ,4/27/2023,57.3,A:e ,4/27/2023,36.1,A:e ,1/3/2023,23.9,A 
