Read Me File,,,,,,,,,,,
Date,Snow_Depth_in,Delta_Snow Depth_in,P_in,Delta_P_in,T_Max_degF,Delta_T_Max_F,T_Min_F,Delta_T_Min_F,Srad,Delta_Srad,flag
2023-09-04,0,0,0.1,-0.2,60,12,46,2,187.1,144.34,0
2023-09-05,0,0,0,-0.1,54,-6,43,-3,120,-67.1,0
2023-09-06,0,0,1.3,1.3,50,-4,43,0,34.56,-85.44,0
2023-09-07,0,0,0.3,-1,48,-2,41,-2,58.38,23.82,0
2023-09-08,0,0,0.7,0.4,50,2,43,2,50.69,-7.69,0
2023-09-09,0,0,0.9,0.2,51,1,44,1,59.61,8.92,0
2023-09-10,0,0,0.9,0,46,-5,42,-2,26.37,-33.24,0
2023-09-11,0,0,1.1,0.2,47,1,42,0,52.44,26.07,0
2023-09-12,0,0,0,-1.1,48,1,41,-1,65.78,13.34,0
2023-09-13,0,0,0.2,0.2,47,-1,43,2,49.03,-16.75,0
2023-09-14,0,0,0.5,0.3,47,0,42,-1,60.62,11.59,0
2023-09-15,0,0,0.5,0,44,-3,40,-2,40.24,-20.38,0
2023-09-16,0,0,0.6,0.1,48,4,42,2,29.4,-10.84,0
2023-09-17,0,0,nan,nan,61,13,43,1,134.8,105.4,2
2023-09-18,0,0,0.3,nan,52,-9,43,0,51.46,-83.34,2
2023-09-19,0,0,0,-0.3,54,2,39,-4,107,55.54,1
2023-09-20,0,0,0.5,0.5,nan,nan,nan,nan,nan,nan,1
2023-09-21,0,0,0.1,-0.4,51,,38,,89.3,,0
2023-09-22,0,0,0,-0.1,52,1,37,-1,109.3,20,0
2023-09-23,0,0,0,0,49,-3,39,2,86.2,-23.1,0
2023-09-24,0,0,0,0,50,1,38,-1,95.9,9.7,0
2023-09-25,0,0,0,0,55,5,40,2,107,11.1,0
2023-09-26,0,0,0,0,57,2,39,-1,100,-7,0
2023-09-27,0,0,0,0,55,-2,47,8,71.48,-28.52,0
2023-09-28,0,0,0,0,51,-4,42,-5,64.29,-7.19,0
2023-09-29,0,0,0.2,0.2,44,-7,41,-1,42.6,-21.69,0
2023-09-30,0,0,0.3,0.1,43,-1,38,-3,26.29,-16.31,0
2023-10-01,0,0,0.3,0,45,2,40,2,41.08,14.79,0
2023-10-02,0,0,1.7,1.4,44,-1,37,-3,23.02,-18.06,0
2023-10-03,0,0,0.1,-1.6,48,4,36,-1,63.87,40.85,0
2023-10-04,0,0,0,-0.1,45,-3,37,1,66.25,2.38,0
2023-10-05,0,0,0.3,0.3,41,-4,35,-2,17.76,-48.49,0
2023-10-06,0,0,0.6,0.3,44,3,41,6,20.02,2.26,0
2023-10-07,6,6,0.3,-0.3,47,3,41,0,27.68,7.66,0
2023-10-08,0,-6,0.3,0,45,-2,40,-1,28.27,0.59,0
2023-10-09,0,0,0,-0.3,52,7,36,-4,50.33,22.06,0
2023-10-10,0,0,0.5,0.5,43,-9,38,2,36.77,-13.56,0
2023-10-11,0,0,0.1,-0.4,42,-1,36,-2,36.02,-0.75,0
2023-10-12,0,0,0.2,0.1,44,2,36,0,33.07,-2.95,0
2023-10-13,0,0,0.6,0.4,43,-1,36,0,42.15,9.08,0
2023-10-14,0,0,0.8,0.2,44,1,39,3,14.76,-27.39,0
2023-10-15,0,0,0.2,-0.6,43,-1,37,-2,34.9,20.14,0
2023-10-16,0,0,0.4,0.2,47,4,38,1,47.78,12.88,0
2023-10-17,0,0,0.3,-0.1,42,-5,38,0,23.49,-24.29,0
2023-10-18,0,0,0,-0.3,51,9,39,1,32.91,9.42,0
2023-10-19,0,0,0.2,0.2,43,-8,34,-5,40.36,7.45,0
2023-10-20,0,0,0.1,-0.1,34,-9,30,-4,18.52,-21.84,0
2023-10-21,0,0,0.1,0,38,4,31,1,17.59,-0.93,0
2023-10-22,0,0,0.1,0,36,-2,30,-1,16.47,-1.12,0
2023-10-23,0,0,0,-0.1,41,5,28,-2,15.71,-0.76,0
2023-10-24,0,0,0.1,0.1,35,-6,27,-1,14.3,-1.41,0
2023-10-25,0,0,0,-0.1,39,4,30,3,29.54,15.24,0
2023-10-26,0,0,0,0,40,1,30,0,20.72,-8.82,0
2023-10-27,0,0,0,0,37,-3,30,0,9.84,-10.88,0
2023-10-28,0,0,0,0,36,-1,29,-1,27.58,17.74,0
2023-10-29,0,0,0.1,0.1,37,1,33,4,12.29,-15.29,0
2023-10-30,0,0,0,-0.1,40,3,34,1,14.46,2.17,0
2023-10-31,0,0,0,0,40,0,34,0,23.22,8.76,0
2023-11-01,0,0,0.1,0.1,36,-4,30,-4,14.56,-8.66,0
2023-11-02,0,0,0,-0.1,37,1,34,4,13.6,-0.96,0
2023-11-03,0,0,0.2,0.2,37,0,35,1,9.64,-3.96,0
2023-11-04,0,0,0.1,-0.1,37,0,30,-5,7.53,-2.11,0
2023-11-05,1,1,0.1,0,34,-3,30,0,14.56,7.03,0
2023-11-06,2,1,0.4,0.3,32,-2,31,1,1.67,-12.89,0
2023-11-07,6,4,0.2,-0.2,36,4,30,-1,2.27,0.6,0
2023-11-08,7,1,3.4,3.2,39,3,33,3,1.4,-0.87,0
2023-11-09,6,-1,1.5,-1.9,43,4,32,-1,6.44,5.04,0
2023-11-10,6,0,0.2,-1.3,33,-10,30,-2,7.15,0.71,0
2023-11-11,5,-1,0,-0.2,40,7,29,-1,9.12,1.97,0
2023-11-12,5,0,0,0,35,-5,26,-3,6.59,-2.53,0
2023-11-13,4,-1,0.7,0.7,32,-3,27,1,0.73,-5.86,0
2023-11-14,16,12,0.1,-0.6,33,1,24,-3,0.91,0.18,0
2023-11-15,15,-1,1.1,1,28,-5,24,0,0.6,-0.31,0
2023-11-16,21,6,0.5,-0.6,33,5,27,3,0.47,-0.13,0
2023-11-17,23,2,0.4,-0.1,32,-1,19,-8,0.74,0.27,0
2023-11-18,24,1,0,-0.4,24,-8,16,-3,0.7,-0.04,0
2023-11-19,22,-2,0,0,24,0,15,-1,0.85,0.15,0
2023-11-20,21,-1,0,0,32,8,19,4,9.1,8.25,0
2023-11-21,20,-1,0.1,0.1,34,2,24,5,9.9,0.8,0
2023-11-22,20,0,0.7,0.6,32,-2,24,0,1.47,-8.43,0
2023-11-23,27,7,0.5,-0.2,36,4,32,8,4.64,3.17,0
2023-11-24,24,-3,0.6,0.1,39,3,35,3,6.78,2.14,0
2023-11-25,20,-4,0.5,-0.1,39,0,34,-1,4.61,-2.17,0
2023-11-26,17,-3,0.6,0.1,37,-2,34,0,6.22,1.61,0
2023-11-27,16,-1,1.1,0.5,34,-3,32,-2,1.82,-4.4,0
2023-11-28,18,2,0.3,-0.8,nan,nan,nan,nan,nan,nan,1
2023-11-29,21,3,0.2,-0.1,36,nan,29,nan,0.64,nan,1
2023-11-30,19,-2,0.4,0.2,33,-3,24,-5,0.49,-0.15,0
2023-12-01,25,6,0.1,-0.3,27,-6,19,-5,0.87,0.38,0
2023-12-02,23,-2,0,-0.1,24,-3,14,-5,1.02,0.15,0
2023-12-03,22,-1,0,0,26,2,14,0,1.29,0.27,0
2023-12-04,21,-1,0,0,31,5,13,-1,1.01,-0.28,0
2023-12-05,20,-1,0,0,35,4,21,8,0.46,-0.55,0
2023-12-06,20,0,0.2,0.2,34,-1,27,6,0.29,-0.17,0
2023-12-07,25,5,0.4,0.2,29,-5,23,-4,0.71,0.42,0
2023-12-08,32,7,0.4,0,28,-1,13,-10,1.06,0.35,0
2023-12-09,33,1,0.1,-0.3,23,-5,14,1,1.24,0.18,0
2023-12-10,31,-2,1.6,1.5,24,1,11,-3,0.47,-0.77,0
2023-12-11,36,5,1,-0.6,33,9,23,12,0.1,-0.37,0
2023-12-12,45,9,1.5,0.5,32,-1,31,8,0.64,0.54,0
2023-12-13,53,8,0.2,-1.3,31,-1,23,-8,0.7,0.06,0
2023-12-14,51,-2,0.1,-0.1,24,-7,13,-10,1.07,0.37,0
2023-12-15,49,-2,1,0.9,26,2,12,-1,0.51,-0.56,0
2023-12-16,59,10,0.5,-0.5,27,1,24,12,0.71,0.2,0
2023-12-17,64,5,0,-0.5,33,6,27,3,0.59,-0.12,0
2023-12-18,61,-3,0.6,0.6,31,-2,27,0,0.33,-0.26,0
2023-12-19,68,7,0.3,-0.3,28,-3,26,-1,0.38,0.05,0
2023-12-20,71,3,0.3,0,30,2,27,1,0.82,0.44,0
2023-12-21,74,3,0,-0.3,32,2,18,-9,1.68,0.86,0
2023-12-22,70,-4,0,0,25,-7,16,-2,0.68,-1,0
2023-12-23,68,-2,0.4,0.4,36,11,24,8,0.42,-0.26,0
2023-12-24,64,-4,0.6,0.2,38,2,32,8,0.29,-0.13,0
2023-12-25,64,0,0.1,-0.5,32,-6,24,-8,0.61,0.32,0
2023-12-26,64,0,0.3,0.2,25,-7,13,-11,0.41,-0.2,0
2023-12-27,67,3,0.1,-0.2,24,-1,12,-1,0.54,0.13,0
2023-12-28,64,-3,0.1,0,29,5,17,5,0.44,-0.1,0
2023-12-29,62,-2,0,-0.1,25,-4,7,-10,0.48,0.04,0
2023-12-30,60,-2,0,0,15,-10,2,-5,0.5,0.02,0
2023-12-31,59,-1,0,0,28,13,11,9,0.54,0.04,0
2024-01-01,58,-1,0,0,27,-1,15,4,0.82,0.28,0
2024-01-02,58,0,0,0,26,-1,13,-2,0.63,-0.19,0
2024-01-03,58,0,0,0,30,4,24,11,0.72,0.09,0
2024-01-04,57,-1,0.5,0.5,27,-3,23,-1,0.62,-0.1,0
2024-01-05,62,5,0,-0.5,30,3,23,0,0.64,0.02,0
2024-01-06,61,-1,0,0,25,-5,17,-6,0.82,0.18,0
2024-01-07,60,-1,0.7,0.7,30,5,24,7,0.42,-0.4,0
2024-01-08,67,7,0.1,-0.6,30,0,19,-5,0.79,0.37,0
2024-01-09,68,1,0,-0.1,34,4,23,4,1.81,1.02,0
2024-01-10,66,-2,0,0,32,-2,13,-10,2.05,0.24,0
2024-01-11,65,-1,0,0,21,-11,12,-1,1.66,-0.39,0
2024-01-12,64,-1,0,0,26,5,20,8,3.08,1.42,0
2024-01-13,62,-2,0.1,0.1,25,-1,23,3,1.28,-1.8,0
2024-01-14,63,1,0.5,0.4,32,7,24,1,0.77,-0.51,0
2024-01-15,69,6,0,-0.5,34,2,23,-1,1.57,0.8,0
2024-01-16,66,-3,0,0,39,5,18,-5,1.99,0.42,0
2024-01-17,65,-1,0.1,0.1,35,-4,24,6,7.4,5.41,0
2024-01-18,64,-1,0,-0.1,36,1,25,1,4.87,-2.53,0
2024-01-19,63,-1,0,0,41,5,32,7,5.97,1.1,0
2024-01-20,62,-1,0.1,0.1,36,-5,20,-12,5.51,-0.46,0
2024-01-21,62,0,0,-0.1,20,-16,12,-8,11.7,6.19,0
2024-01-22,61,-1,0,0,24,4,13,1,13.47,1.77,0
2024-01-23,60,-1,0,0,25,1,8,-5,7.29,-6.18,0
2024-01-24,59,-1,0,0,13,-12,6,-2,6.34,-0.95,0
2024-01-25,59,0,0.1,0.1,17,4,8,2,8.59,2.25,0
2024-01-26,59,0,0.1,0,19,2,16,8,4.87,-3.72,0
2024-01-27,60,1,0.3,0.2,17,-2,12,-4,2.01,-2.86,0
2024-01-28,66,6,2,1.7,23,6,15,3,1.07,-0.94,0
2024-01-29,89,23,0.5,-1.5,33,10,23,8,1.98,0.91,0
2024-01-30,82,-7,0,-0.5,25,-8,13,-10,2.35,0.37,0
2024-01-31,80,-2,0,0,17,-8,8,-5,1.44,-0.91,0
2024-02-01,78,-2,0,0,17,0,8,0,2.82,1.38,0
2024-02-02,76,-2,0,0,11,-6,-3,-11,6.57,3.75,0
2024-02-03,75,-1,0,0,5,-6,-10,-7,8.78,2.21,0
2024-02-04,76,1,0.2,0.2,21,16,5,15,4.2,-4.58,0
2024-02-05,81,5,0,-0.2,25,4,16,11,5.16,0.96,0
2024-02-06,79,-2,0.1,0.1,24,-1,12,-4,2.47,-2.69,0
2024-02-07,78,-1,0,-0.1,28,4,17,5,5.66,3.19,0
2024-02-08,76,-2,0,0,28,0,19,2,4.72,-0.94,0
2024-02-09,75,-1,0.3,0.3,30,2,24,5,2,-2.72,0
2024-02-10,81,6,1.4,1.1,33,3,30,6,1.77,-0.23,0
2024-02-11,98,17,0.5,-0.9,33,0,29,-1,3.72,1.95,0
2024-02-12,97,-1,0.1,-0.4,33,0,28,-1,1.41,-2.31,0
2024-02-13,97,0,0.1,0,34,1,23,-5,24.82,23.41,0
2024-02-14,92,-5,0,-0.1,30,-4,20,-3,11.58,-13.24,0
2024-02-15,90,-2,0,0,32,2,21,1,12.29,0.71,0
2024-02-16,88,-2,0,0,31,-1,20,-1,12.23,-0.06,0
2024-02-17,87,-1,0.5,0.5,35,4,21,1,34.87,22.64,0
2024-02-18,86,-1,0.1,-0.4,35,0,31,10,11.44,-23.43,0
2024-02-19,87,1,1.4,1.3,35,0,32,1,17.11,5.67,0
2024-02-20,85,-2,1.4,0,33,-2,32,0,4.06,-13.05,0
2024-02-21,86,1,0.9,-0.5,35,2,30,-2,6.54,2.48,0
2024-02-22,87,1,1.1,0.2,33,-2,23,-7,3.95,-2.59,0
2024-02-23,92,5,0.1,-1,24,-9,13,-10,4.88,0.93,0
2024-02-24,90,-2,0,-0.1,28,4,10,-3,4.25,-0.63,0
2024-02-25,88,-2,0,0,30,2,21,11,8.38,4.13,0
2024-02-26,87,-1,0,0,24,-6,11,-10,6.07,-2.31,0
2024-02-27,89,2,0.2,0.2,29,5,19,8,10.56,4.49,0
2024-02-28,87,-2,0,-0.2,21,-8,13,-6,17.02,6.46,0
2024-02-29,86,-1,0,0,15,-6,11,-2,17.22,0.2,0
2024-03-01,85,-1,0,0,13,-2,10,-1,24.44,7.22,0
2024-03-02,84,-1,0,0,19,6,10,0,45.01,20.57,0
2024-03-03,83,-1,0.1,0.1,20,1,4,-6,69.15,24.14,0
2024-03-04,83,0,0,-0.1,23,3,11,7,63.3,-5.85,0
2024-03-05,82,-1,0,0,36,13,17,6,37.13,-26.17,0
2024-03-06,82,0,0,0,35,-1,18,1,62.43,25.3,0
2024-03-07,82,0,0,0,27,-8,15,-3,71.54,9.11,0
2024-03-08,81,-1,0,0,37,10,26,11,78.9,7.36,0
2024-03-09,81,0,0.1,0.1,31,-6,25,-1,57.87,-21.03,0
2024-03-10,82,1,0.3,0.2,32,1,19,-6,33.61,-24.26,0
2024-03-11,85,3,0,-0.3,32,0,25,6,8.72,-24.89,0
2024-03-12,87,2,0,0,40,8,27,2,46.33,37.61,0
2024-03-13,86,-1,0.1,0.1,32,-8,24,-3,85.4,39.07,0
2024-03-14,85,-1,0,-0.1,38,6,26,2,81.1,-4.3,0
2024-03-15,87,2,0.1,0.1,36,-2,26,0,31.37,-49.73,0
2024-03-16,87,0,1.2,1.1,36,0,30,4,4.09,-27.28,0
2024-03-17,100,13,0.2,-1,39,3,32,2,52.55,48.46,0
2024-03-18,93,-7,0.1,-0.1,40,1,31,-1,87.7,35.15,0
2024-03-19,88,-5,0,-0.1,41,1,27,-4,128.8,41.1,0
2024-03-20,86,-2,0,0,38,-3,24,-3,139.1,10.3,0
2024-03-21,86,0,0,0,41,3,25,1,134.8,-4.3,0
2024-03-22,85,-1,0,0,38,-3,21,-4,93.8,-41,0
2024-03-23,85,0,0,0,41,3,25,4,114.2,20.4,0
2024-03-24,85,0,0,0,41,0,30,5,80.1,-34.1,0
2024-03-25,85,0,0.4,0.4,35,-6,31,1,44.66,-35.44,0
2024-03-26,85,0,0.2,-0.2,38,3,32,1,86.2,41.54,0
2024-03-27,84,-1,0,-0.2,40,2,31,-1,124.2,38,0
2024-03-28,83,-1,0,0,39,-1,27,-4,187.1,62.9,0
2024-03-29,83,0,0.3,0.3,33,-6,28,1,42.46,-144.64,0
2024-03-30,89,6,2.1,1.8,34,1,29,1,6.65,-35.81,0
2024-03-31,98,9,0.2,-1.9,35,1,30,1,12.74,6.09,0
2024-04-01,99,1,0,-0.2,37,2,26,-4,14.18,1.44,0
2024-04-02,98,-1,0,0,38,1,21,-5,153.6,139.42,0
2024-04-03,96,-2,0,0,39,1,21,0,149,-4.6,0
2024-04-04,95,-1,0.2,0.2,33,-6,25,4,61.22,-87.78,0
2024-04-05,96,1,0.2,0,42,9,28,3,104.3,43.08,0
2024-04-06,96,0,0.3,0.1,36,-6,30,2,72.64,-31.66,0
2024-04-07,96,0,0.1,-0.2,37,1,23,-7,207.6,134.96,0
2024-04-08,94,-2,0,-0.1,43,6,30,7,221.7,14.1,0
2024-04-09,94,0,0.2,0.2,36,-7,29,-1,101.6,-120.1,0
2024-04-10,99,5,0.4,0.2,41,5,28,-1,128.8,27.2,0
2024-04-11,96,-3,0,-0.4,38,-3,29,1,126.8,-2,0
2024-04-12,95,-1,0.3,0.3,33,-5,28,-1,57.68,-69.12,0
2024-04-13,99,4,0.1,-0.2,42,9,25,-3,240,182.32,0
2024-04-14,94,-5,0,-0.1,44,2,23,-2,272.1,32.1,0
2024-04-15,93,-1,0,0,39,-5,23,0,273.6,1.5,0
2024-04-16,92,-1,0,0,40,1,24,1,172.8,-100.8,0
2024-04-17,91,-1,0,0,40,0,25,1,207.2,34.4,0
2024-04-18,91,0,0,0,45,5,33,8,199.3,-7.9,0
2024-04-19,89,-2,0,0,47,2,30,-3,292,92.7,0
2024-04-20,89,0,0,0,44,-3,31,1,280.4,-11.6,0
2024-04-21,87,-2,0,0,43,-1,31,0,161,-119.4,0
2024-04-22,86,-1,0,0,46,3,34,3,258.8,97.8,0
2024-04-23,84,-2,0,0,43,-3,34,0,295.3,36.5,0
2024-04-24,82,-2,0,0,43,0,31,-3,290,-5.3,0
2024-04-25,80,-2,0,0,46,3,31,0,288.3,-1.7,0
2024-04-26,79,-1,0,0,45,-1,34,3,293.7,5.4,0
2024-04-27,77,-2,0,0,45,0,30,-4,299.6,5.9,0
2024-04-28,76,-1,0,0,51,6,35,5,317.3,17.7,0
2024-04-29,75,-1,0,0,45,-6,37,2,255.2,-62.1,0
2024-04-30,73,-2,0,0,44,-1,36,-1,152.9,-102.3,0
2024-05-01,71,-2,0,0,45,1,35,-1,225.8,72.9,0
2024-05-02,70,-1,0,0,42,-3,36,1,185.5,-40.3,0
2024-05-03,68,-2,0,0,43,1,35,-1,115.7,-69.8,0
2024-05-04,68,0,0.5,0.5,38,-5,33,-2,97.2,-18.5,0
2024-05-05,67,-1,0.2,-0.3,42,4,34,1,124.9,27.7,0
2024-05-06,66,-1,0,-0.2,46,4,34,0,251.4,126.5,0
2024-05-07,64,-2,0,0,47,1,34,0,226.9,-24.5,0
2024-05-08,63,-1,0.4,0.4,44,-3,34,0,141.9,-85,0
2024-05-09,62,-1,0.4,0,39,-5,32,-2,147.4,5.5,0
2024-05-10,61,-1,0.2,-0.2,40,1,30,-2,168.5,21.1,0
2024-05-11,59,-2,0.1,-0.1,37,-3,32,2,134.3,-34.2,0
2024-05-12,61,2,0,-0.1,41,4,35,3,184.2,49.9,0
2024-05-13,59,-2,0,0,46,5,34,-1,359.6,175.4,0
2024-05-14,57,-2,0,0,46,0,36,2,348.1,-11.5,0
2024-05-15,56,-1,0,0,50,4,34,-2,362.3,14.2,0
2024-05-16,54,-2,0,0,44,-6,34,0,156.4,-205.9,0
2024-05-17,53,-1,0,0,50,6,36,2,330.6,174.2,0
2024-05-18,51,-2,0,0,47,-3,36,0,227.7,-102.9,0
2024-05-19,50,-1,0,0,47,0,35,-1,260.3,32.6,0
2024-05-20,48,-2,0,0,49,2,37,2,354,93.7,0
2024-05-21,44,-4,0.4,0.4,45,-4,34,-3,152.8,-201.2,0
2024-05-22,42,-2,0.1,-0.3,40,-5,34,0,89.5,-63.3,0
2024-05-23,42,0,0,-0.1,53,13,35,1,383.2,293.7,0
2024-05-24,41,-1,0.3,0.3,46,-7,36,1,151.5,-231.7,0
2024-05-25,39,-2,0,-0.3,48,2,36,0,242.7,91.2,0
2024-05-26,37,-2,0,0,53,5,37,1,331.5,88.8,0
2024-05-27,32,-5,0.2,0.2,46,-7,38,1,165.6,-165.9,0
2024-05-28,31,-1,0.4,0.2,44,-2,37,-1,121.9,-43.7,0
2024-05-29,31,0,0,-0.4,49,5,37,0,197.2,75.3,0
2024-05-30,29,-2,0,0,52,3,37,0,237.7,40.5,0
2024-05-31,25,-4,0,0,53,1,35,-2,252.9,15.2,0
2024-06-01,23,-2,0.1,0.1,50,-3,39,4,180,-72.9,0
2024-06-02,23,0,0,-0.1,53,3,38,-1,257,77,0
2024-06-03,20,-3,0,0,53,0,38,0,278.7,21.7,0
2024-06-04,16,-4,0,0,61,8,40,2,383,104.3,0
2024-06-05,14,-2,0.7,0.7,47,-14,39,-1,156.8,-226.2,0
2024-06-06,12,-2,0.1,-0.6,48,1,38,-1,134.5,-22.3,0
2024-06-07,10,-2,0,-0.1,55,7,38,0,382.8,248.3,0
2024-06-08,6,-4,0,0,60,5,40,2,174.4,-208.4,0
2024-06-09,5,-1,0.1,0.1,53,-7,40,0,147.2,-27.2,0
2024-06-10,3,-2,0.1,0,55,2,40,0,232,84.8,0
2024-06-11,0,-3,0.2,0.1,53,-2,40,0,188.4,-43.6,0
2024-06-12,0,0,0,-0.2,50,-3,40,0,120.2,-68.2,0
2024-06-13,0,0,0,0,57,7,39,-1,295.8,175.6,0
2024-06-14,0,0,0,0,74,17,40,1,395.2,99.4,0
2024-06-15,0,0,0,0,62,-12,44,4,394.2,-1,0
2024-06-16,0,0,0,0,67,5,42,-2,394.8,0.6,0
2024-06-17,0,0,0,0,64,-3,42,0,394.4,-0.4,0
2024-06-18,1,1,0,0,56,-8,43,1,173.7,-220.7,0
2024-06-19,2,1,0,0,59,3,44,1,370.2,196.5,0
2024-06-20,0,-2,0,0,62,3,40,-4,303.6,-66.6,0
2024-06-21,0,0,0,0,65,3,42,2,394.1,90.5,0
2024-06-22,0,0,0,0,70,5,44,2,382,-12.1,0
2024-06-23,0,0,0,0,68,-2,45,1,376.7,-5.3,0
2024-06-24,0,0,0,0,64,-4,48,3,234.5,-142.2,0
2024-06-25,0,0,0,0,60,-4,48,0,249,14.5,0
2024-06-26,0,0,0,0,62,2,48,0,273.2,24.2,0
2024-06-27,0,0,0,0,65,3,48,0,342,68.8,0
2024-06-28,0,0,0,0,64,-1,47,-1,288.1,-53.9,0
2024-06-29,0,0,0,0,70,6,48,1,389.6,101.5,0
2024-06-30,0,0,0,0,59,-11,50,2,122.5,-267.1,0
2024-07-01,0,0,0.1,0.1,56,-3,49,-1,123.2,0.7,0
2024-07-02,0,0,0,-0.1,56,0,48,-1,139,15.8,0
2024-07-03,0,0,0,0,57,1,49,1,172.2,33.2,0
2024-07-04,0,0,0.2,0.2,54,-3,49,0,100.4,-71.8,0
2024-07-05,0,0,0,-0.2,52,-2,48,-1,85.3,-15.1,0
2024-07-06,0,0,0.4,0.4,53,1,48,0,94.6,9.3,0
2024-07-07,0,0,0,-0.4,54,1,48,0,103,8.4,0
2024-07-08,0,0,0,0,57,3,48,0,133.9,30.9,0
2024-07-09,0,0,0,0,59,2,49,1,150.1,16.2,0
2024-07-10,0,0,0.1,0.1,57,-2,49,0,130.1,-20,0
2024-07-11,0,0,0.2,0.1,56,-1,48,-1,147.2,17.1,0
2024-07-12,0,0,0.1,-0.1,55,-1,48,0,123.9,-23.3,0
2024-07-13,0,0,0.7,0.6,51,-4,48,0,68.92,-54.98,0
2024-07-14,0,0,1.1,0.4,54,3,49,1,126.1,57.18,0
2024-07-15,0,0,0.1,-1,55,1,48,-1,139.1,13,0
2024-07-16,0,0,0.2,0.1,52,-3,47,-1,117.1,-22,0
2024-07-17,0,0,0,-0.2,59,7,46,-1,236.4,119.3,0
2024-07-18,0,0,0,0,55,-4,47,1,135.1,-101.3,0
2024-07-19,0,0,nan,nan,65,10,43,-4,358.7,223.6,2
2024-07-20,0,0,0,nan,68,3,49,6,264.4,-94.3,2
2024-07-21,0,0,nan,nan,72,4,50,1,312.5,48.1,2
2024-07-22,0,0,0.7,nan,57,-15,53,3,37.03,-275.47,2
2024-07-23,0,0,0,-0.7,63,6,49,-4,233.5,196.47,0
2024-07-24,0,0,0,0,60,-3,52,3,131.6,-101.9,0
2024-07-25,0,0,0.2,0.2,56,-4,52,0,85.5,-46.1,0
2024-07-26,0,0,0.8,0.6,54,-2,51,-1,65.7,-19.8,0
2024-07-27,0,0,0.1,-0.7,58,4,50,-1,153.9,88.2,0
2024-07-28,0,0,0.1,0,54,-4,50,0,99.6,-54.3,0
2024-07-29,0,0,0.5,0.4,52,-2,48,-2,76.2,-23.4,0
2024-07-30,0,0,0.1,-0.4,55,3,48,0,138.3,62.1,0
2024-07-31,0,0,0,-0.1,63,8,46,-2,324.9,186.6,0
2024-08-01,0,0,0,0,56,-7,51,5,72.67,-252.23,0
2024-08-02,0,0,0,0,59,3,51,0,118.2,45.53,0
2024-08-03,0,0,0,0,61,2,50,-1,236.8,118.6,0
