ReadMe File,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,10,,,,,15,,,,,
Date,ME_SWE,ME_SDep,ME_P,ME_Tavg,ME_Tmax,ME_Tmin,ME_SDen,ME_PSadj,ME_SPratio,ME_WDir,ME_WSavg,ME_WSmax,ME_SolRad,ME_flag,SLM_SDep,SLM_P,SLM_Tavg,SLM_Tmax,SLM_Tmin,SLM_WDir,SLM_WSavg,SLM_WSmax,SLM_SolRad,SLM_flag,UTR_SWE,UTR_SDep,UTR_P,UTR_Tavg,UTR_Tmax,UTR_Tmin,UTR_ SMmin,UTR_SMmid,UTR_SMmax,UTR_STmin,UTR_STmid,UTR_STmax,UTR_SDen,UTR_P_Sadj,UTR_SPratio,UTR_WDir,UTR_WSavg,UTR_WSmax,UTR_SolRad,UTR_flag
2/1/2023,15.3,39,0.2,33,35,29,39.2,0.3,150,80,0.8,8,14.31,,45,0,26,29,22,186,1.1,7,4.4,,13.8,52,0,18,23,10,17.8,11,13,31,32,32,26.5,0,nan,nan,nan,nan,10.25,"15,16,17,18"
2/2/2023,15.6,43,0.4,32,34,30,36.3,0.4,100,101,2.8,15.6,5.04,,45,0.3,26,30,25,178,0,1.8,1.99,,13.8,52,0.1,17,21,14,17.3,10.8,13,31,32,32,26.5,0.1,100,nan,nan,nan,6.05,"16,17,18"
2/3/2023,16,48,0.2,30,33,28,33.3,0.3,150,105,3,10.6,6.14,,48,0,27,32,25,0,0,0,2.44,,13.9,53,0.1,17,21,13,17.5,10.6,12.7,31,32,32,26.2,0.1,100,nan,nan,nan,5.53,"16,17,18"
2/4/2023,16.3,50,0.5,29,30,27,32.6,0.5,100,106,2.5,11.6,5.39,,48,0.3,26,28,25,0,0,0,1.88,,14,56,0.2,15,20,12,17.3,10.9,12.8,31,32,32,25,0.2,100,nan,nan,nan,4.11,"16,17,18"
2/5/2023,16.8,53,0.2,28,32,25,31.7,0.2,50,107,7.2,30.9,1.74,,53,0.1,24,30,16,0,0,0,1.22,,14.2,59,0.2,7,14,-6,17.2,10.6,12.6,31,32,32,24.1,0.2,100,nan,nan,nan,3.03,"16,17,18"
2/6/2023,16.9,51,1.4,29,32,28,33.1,1.4,93,114,6.9,33.4,13.94,,53,0.8,29,33,27,162,0,0.6,1.1,,14.4,61,1,23,30,12,17.1,10.4,12.5,31,32,32,23.6,1,80,nan,nan,nan,1.29,"16,17,18"
2/7/2023,18.2,56,1.1,29,30,27,32.5,1.3,118,108,5.1,13.8,10.3,,61,0.6,28,33,27,168,0,1.9,5.86,,15.2,69,0.2,20,29,7,17.1,10.7,12.4,31,32,32,22,0.4,200,nan,nan,nan,2.6,"16,17,18"
2/8/2023,19.5,67,0.3,25,28,23,29.1,0.3,100,104,3.5,15.1,12.87,,65,0.2,26,30,23,0,0,0,4.55,,15.6,69,0.1,14,24,5,17.2,10.5,12.4,31,32,32,22.6,0.1,100,nan,nan,nan,2.89,"16,17,18"
2/9/2023,19.8,64,0,24,27,20,30.9,0,nan,300,3.1,11.1,16.15,9,66,0.1,22,30,10,182,0.6,6,4.56,,15.7,68,0,8,18,-10,17.2,10.5,12.2,31,32,32,23.1,0,nan,nan,nan,nan,4.17,"15,16,17,18"
2/10/2023,19.8,64,0.1,23,28,17,30.9,0.1,0,98,7.2,29.3,6.8,,62,0.1,17,22,10,177,0.9,4.9,3.63,,15.7,66,0,2,13,-13,17,10.4,12.2,31,32,32,23.8,0.1,nan,nan,nan,nan,3.15,"15,16,17,18"
2/11/2023,19.8,60,1.4,30,32,28,33,1.6,114,110,8.7,21.8,9.78,,63,0.4,26,29,22,176,0,1.1,1.65,,15.8,65,0.4,17,22,11,16.8,10.2,12,31,32,32,24.3,0.4,75,nan,nan,nan,2.3,"16,17,18"
2/12/2023,21.4,67,0.5,30,32,28,31.9,0.5,60,321,2.7,14.8,12.33,,67,0.2,27,32,21,190,0,0.1,3.46,,16.1,68,0,19,23,10,16.8,10.4,11.8,31,32,32,23.7,0,nan,nan,nan,nan,3.04,"15,16,17,18"
2/13/2023,21.7,70,0.4,26,29,24,31,0.4,75,107,3,14.1,4.14,,65,0.1,29,32,23,161,0.9,12.9,4.3,,16.1,66,0,20,24,12,16.9,10.2,12.1,31,32,32,24.4,0.1,nan,nan,nan,nan,2.92,"15,16,17,18"
2/14/2023,22,70,0.4,25,28,23,31.4,0.4,100,110,8.5,23.6,9.78,,63,0.5,25,26,23,140,0,1.7,2.39,,16.2,65,0,20,26,14,16.7,10.3,11.9,31,32,32,24.9,0.1,nan,nan,nan,nan,2.71,"15,16,17,18"
2/15/2023,22.4,73,0.7,28,32,24,30.7,0.7,57,317,1.1,8.5,14.23,,69,0.1,22,27,15,178,1,5.3,2.04,,16.3,64,0,12,21,-5,16.6,10.1,11.9,31,32,32,25.5,0,nan,nan,nan,nan,4.31,"15,16,17,18"
2/16/2023,22.8,74,0.1,25,27,23,30.8,0.1,100,98,3,13.5,2.86,,66,0.3,21,26,13,178,0.8,5.1,3.14,,16.3,64,0.2,12,27,-8,16.5,9.8,11.7,31,32,32,25.5,0.2,50,nan,nan,nan,2.83,"16,17,18"
2/17/2023,22.9,73,0.4,28,30,25,31.4,0.4,75,1,4.6,17.5,3.5,,68,0,26,32,22,176,0.3,2.8,4.02,,16.4,63,0.1,23,28,19,16.5,10.1,11.6,31,32,32,26,0.1,100,nan,nan,nan,2.94,"16,17,18"
2/18/2023,23.2,76,0.4,28,30,26,30.5,0.5,125,102,4.7,19.9,6.35,,66,0.5,26,29,23,181,0.3,3.9,2.12,,16.5,64,0.1,20,28,10,16.3,9.9,11.8,31,32,32,25.8,0.1,100,nan,nan,nan,2.71,"16,17,18"
2/19/2023,23.7,78,0.1,29,34,23,30.4,0.1,100,318,1.3,9.2,46.96,,74,0,26,32,17,175,0.4,9.2,2.29,,16.6,67,0,7,22,-7,16.3,10.2,11.6,31,32,32,24.8,0,nan,nan,nan,nan,3.71,"15,16,17,18"
2/20/2023,23.8,76,0,27,32,22,31.3,0,nan,348,2.8,14.9,64.08,9,70,0,28,33,23,183,1.6,18.7,2.83,,16.6,65,0,13,26,-9,16.1,10,11.5,31,32,32,25.5,0,nan,nan,nan,nan,5.44,"15,16,17,18"
2/21/2023,23.8,74,0,27,33,23,32.2,0,nan,350,2.5,10.8,134.1,9,69,0,22,32,15,187,1.5,6.2,7.2,,16.6,64,0,-1,15,-11,16,10,11.3,31,32,32,25.9,0,nan,nan,nan,nan,5.25,"15,16,17,18"
2/22/2023,23.8,73,0,26,35,21,32.6,0,nan,332,2.2,10,118.8,9,67,0,17,22,10,185,1.8,5.6,9.69,,16.6,63,0,1,14,-12,16,9.8,11.6,31,32,32,26.3,0,nan,nan,nan,nan,5.92,"15,16,17,18"
2/23/2023,23.8,72,0.4,26,28,25,33.1,0.4,100,103,4.9,16.1,27.09,,65,0.2,24,26,20,184,0.2,3.1,7.2,,16.6,62,0.2,24,29,9,15.9,9.7,11.3,31,32,32,26.8,0.2,50,nan,nan,nan,4.51,"16,17,18"
2/24/2023,24.2,73,0.3,28,32,26,33.2,0.3,100,312,1.3,8.9,14.62,,66,0.2,25,33,20,184,0.5,5,9.74,,16.7,61,nan,20,26,14,15.8,9.7,11.3,31,32,32,27.4,nan,nan,nan,nan,nan,5.58,"3,14,15,16,17,18"
2/25/2023,24.5,75,0,23,30,19,32.7,0,nan,32,0.9,11.3,60.17,9,64,,26,30,22,195,1,9.4,10.29,,16.8,60,0,21,25,15,15.8,9.5,11.4,31,32,32,28,0,nan,nan,nan,nan,7.2,"15,16,17,18"
2/26/2023,24.5,74,0,20,25,15,33.1,0,nan,356,2.8,14,153.9,9,64,0,21,25,16,266,1,9.9,22.96,,16.8,61,0,14,20,6,15.7,9.6,11.2,31,32,32,27.5,0,nan,nan,nan,nan,9.76,"15,16,17,18"
2/27/2023,24.5,73,0,17,25,12,33.6,0,nan,6,1.5,13.9,148.9,9,63,0.1,17,20,14,182,2.8,20,36.13,,16.8,60,0,7,12,-12,15.5,9.6,11.2,31,32,32,28,0,nan,nan,nan,nan,14.77,"15,16,17,18"
2/28/2023,24.5,72,0.4,18,23,12,34,0.4,100,97,3.3,14.3,25.75,,63,0.1,12,16,8,169,0.4,7.6,15.81,,16.8,59,0,1,18,-19,15.3,9.3,11,31,32,32,28.5,0,nan,nan,nan,nan,16.03,"15,16,17,18"
3/1/2023,24.9,73,0,26,28,22,34.1,0,nan,8,4.2,18,31.7,9,62,0,25,33,13,181,2,21.9,22.05,,16.8,58,0.2,16,24,6,15.4,9.4,11.3,31,32,32,29,0.2,100,nan,nan,nan,7.53,"16,17,18"
3/2/2023,24.9,73,0,26,29,23,34.1,0,nan,7,1.8,12.8,50.02,9,60,0,28,30,26,202,2.7,15.1,54.28,,17,61,0,21,24,17,15.1,9.4,11,31,32,32,27.9,0,nan,nan,nan,nan,12.83,"15,16,17,18"
3/3/2023,24.9,72,0,25,32,18,34.6,0,nan,19,1.4,11.5,135.2,9,61,0,24,26,19,193,2.9,18,71.04,,17,60,0,16,19,11,15,9.1,10.7,31,32,32,28.3,0.2,nan,nan,nan,nan,77.72,"15,16,17,18"
3/4/2023,24.9,71,0,22,28,18,35.1,0,nan,17,2.3,13.6,169.4,9,60,0,22,29,17,165,3.2,17.5,47.97,,17.2,60,0,12,16,8,14.8,9.5,10.5,31,32,32,28.7,0,nan,nan,nan,nan,102.6,"15,16,17,18"
3/5/2023,24.9,71,0,26,32,22,35.1,0,nan,324,3.5,15.7,155.7,9,59,0,21,30,15,181,1.8,16.4,58.53,,17.2,60,0,7,15,0,14.3,9.1,10.8,31,32,32,28.7,0,nan,nan,nan,nan,95.4,"15,16,17,18"
3/6/2023,24.9,70,0,26,30,22,35.6,0,nan,299,2.7,11.9,166.5,9,58,0,21,29,15,187,1.8,5.9,57.8,,17.2,60,0,6,20,-5,14.3,8.9,10.6,31,32,32,28.7,0,nan,nan,nan,nan,101.6,"15,16,17,18"
3/7/2023,24.9,69,0,37,55,26,36.1,0,nan,356,3.9,24.2,169.5,9,58,0,34,49,19,188,1.5,7.2,67.24,,17.2,59,0,14,31,0,14,9.2,10.6,31,32,32,29.2,0,nan,nan,nan,nan,101.9,"15,16,17,18"
3/8/2023,24.9,68,0,29,32,27,36.6,0,nan,89,1.5,9.1,87.3,9,58,0,32,36,26,189,0.8,5.4,48.52,,17.2,59,0,23,38,10,13.9,9,10.6,31,32,32,29.2,0.1,nan,nan,nan,nan,104.5,"15,16,17,18"
3/9/2023,24.9,67,0,34,42,28,37.2,0,nan,330,3.3,15.8,175.1,9,56,0.1,35,46,24,310,0.8,9.7,61.61,,17.3,59,0,33,40,23,13.6,8.8,10.4,31,32,32,29.3,0,nan,nan,nan,nan,111.9,"15,16,17,18"
3/10/2023,24.9,67,0,32,38,28,37.2,0,nan,2,4,17.9,183.7,9,57,0.1,32,35,28,347,1.9,12.1,61.51,,17.3,58,0,26,30,21,13.3,8.8,10.2,31,32,32,29.8,0.1,nan,nan,nan,nan,121.5,"15,16,17,18"
3/11/2023,24.9,66,0,32,39,25,37.7,0,nan,331,2.1,14.3,193.8,9,57,0,33,37,29,173,3.2,17,83.1,,17.4,59,0,19,28,-1,13.4,8.5,10.2,31,32,32,29.5,0.4,nan,nan,nan,nan,128.6,"15,16,17,18"
3/12/2023,24.9,66,0,25,29,22,37.7,0,nan,292,1.7,7.8,171.3,9,57,0,21,32,14,184,1.8,15.3,97.8,,17.8,60,0,3,19,-13,13,8.9,10.5,31,32,32,29.7,0,nan,nan,nan,nan,123.4,"15,16,17,18"
3/13/2023,24.9,66,0,23,29,18,37.7,0,nan,7,1.1,9.4,176.8,9,56,0,23,27,19,195,2,13.6,95.1,,17.8,60,0,15,19,6,12.9,8.7,10.3,31,32,32,29.7,1.1,nan,nan,nan,nan,130.7,"15,16,17,18"
3/14/2023,24.9,65,0.4,22,26,17,38.3,0.4,75,80,3,14.8,46.52,,56,0,19,22,15,161,1.4,12.8,70.78,,18.9,63,0,7,12,-1,12.4,8.6,10.1,31,32,32,30,0.1,nan,nan,nan,nan,77.34,"15,16,17,18"
3/15/2023,25.2,73,0.2,25,28,22,34.5,0.2,50,102,5.6,23,79.16,,55,0,25,29,17,143,1.7,13.2,88,,19,63,0,9,14,3,12.3,8.6,10.2,31,32,32,30.2,0.1,nan,nan,nan,nan,109.5,"15,16,17,18"
3/16/2023,25.3,74,0.1,27,35,23,34.2,0.2,200,109,2.7,16.9,161.3,,55,0,23,30,15,187,0.9,5.6,46.19,,19.1,62,0.3,9,18,-3,12,8.5,10.1,31,32,32,30.8,0.3,100,nan,nan,nan,21.46,"16,17,18"
3/17/2023,25.5,73,1.9,29,33,25,34.9,2.2,116,104,8.3,31,11.13,,54,1,30,33,26,186,1.3,14.8,5.49,,19.4,65,1,22,30,14,11.8,8.3,10,31,32,32,29.8,1,90,nan,nan,nan,6.09,"16,17,18"
3/18/2023,27.7,80,1.1,30,37,25,34.6,1.3,118,92,7.3,37.8,5.41,,65,0.1,30,38,24,163,1.1,9.3,7.06,,20.3,76,0.5,25,32,17,11.7,8.3,9.8,31,32,32,26.7,0.6,120,nan,nan,nan,5.32,"16,17,18"
3/19/2023,29,81,0,29,35,26,35.8,0,nan,102,2.9,11.1,198.5,9,64,0.3,29,37,21,191,0.7,6.7,24.87,,20.9,78,0,19,32,-3,11.6,8,10,31,32,32,26.8,0,nan,nan,nan,nan,20.52,"15,16,17,18"
3/20/2023,29,79,0,29,36,26,36.7,0,nan,116,2.9,20.2,173.9,9,62,0,26,37,20,189,0.9,4.8,51.27,,20.9,76,0,16,33,-8,11.3,8,9.9,31,32,32,27.5,0,nan,nan,nan,nan,34.85,"15,16,17,18"
3/21/2023,29,78,0.1,28,32,26,37.2,0.1,0,108,8.2,25,71.89,,60,,28,35,24,184,0.7,6.6,56.99,,20.9,75,0,23,30,17,11.2,7.9,9.7,31,32,32,27.9,0,nan,nan,nan,nan,19.63,"15,16,17,18"
3/22/2023,29,77,1.1,28,32,27,37.7,1.1,82,112,8.8,25.5,47.02,,84,0.5,30,36,27,179,0.5,9.8,41.74,,20.9,74,0.2,28,31,26,11,7.7,9.7,31,32,32,28.2,0.3,150,nan,nan,nan,17.01,"16,17,18"
3/23/2023,29.9,86,0.1,30,36,28,34.8,0.1,100,54,3.3,13.6,169.8,,nan,0,nan,nan,nan,nan,nan,nan,nan,"1,3,4,5,6,7,8,9",21.2,76,0,25,36,5,10.7,7.7,9.5,31,32,32,27.9,0,nan,nan,nan,nan,87.9,"15,16,17,18"
3/24/2023,30,84,0,29,34,25,35.7,0,nan,357,3.5,11.8,199.5,9,67,0,30,39,24,189,1,5,112.4,,21.2,75,0,21,34,2,10.5,7.4,9.6,31,32,32,28.3,0,nan,nan,nan,nan,147.1,"15,16,17,18"
3/25/2023,30,82,0,27,32,24,36.6,0,nan,353,4.6,22.7,272.9,9,65,0,29,35,25,194,1,11.3,165.9,,21.2,74,0,22,26,12,10.4,7.8,9.6,31,32,32,28.6,0,nan,nan,nan,nan,163.1,"15,16,17,18"
3/26/2023,30,82,0,29,37,23,36.6,0,nan,326,2.3,9.8,257.2,9,64,0,28,37,19,168,2,12.2,163.7,,21.2,73,0,15,24,6,10.4,7.6,9.4,31,32,32,29,0,nan,nan,nan,nan,176.6,"15,16,17,18"
3/27/2023,30,81,0,29,35,24,37,0.1,nan,312,3.3,9.8,196.8,9,64,0,25,38,15,188,1.7,5.5,178.1,,21.2,73,0,18,35,-1,10.5,7.7,9.4,31,32,32,29,0,nan,nan,nan,nan,219.4,"15,16,17,18"
3/28/2023,30.1,81,0,30,36,27,37.2,0.1,nan,327,3.3,10.3,275,9,63,0,29,39,21,191,1.2,6.5,190.8,,21.2,72,0,26,37,7,10.1,7.5,9.2,31,32,32,29.4,0,nan,nan,nan,nan,183.5,"15,16,17,18"
3/29/2023,30.2,80,0.1,29,33,26,37.8,0.2,200,100,3.9,15,125.9,,62,0,29,37,22,192,0.9,5.2,117,,21.2,72,0,22,34,5,10.3,7.1,8.9,31,32,32,29.4,0,nan,nan,nan,nan,157.2,"15,16,17,18"
3/30/2023,30.4,80,0.1,28,33,26,38,0.4,400,25,3,11.6,127.6,,62,0,29,35,25,182,0.5,5.2,105.3,,21.2,72,0,25,31,20,10,7,8.9,31,32,32,29.4,0,nan,nan,nan,nan,111.6,"15,16,17,18"
3/31/2023,30.8,80,0,30,38,27,38.5,0,nan,344,3.6,11.3,194,9,63,0,34,41,24,179,1.7,11.9,167.8,,21.2,72,0,25,34,16,10,7,8.7,31,32,32,29.4,0,nan,nan,nan,nan,144.1,"15,16,17,18"
4/1/2023,30.8,79,0,34,40,28,39,0,nan,356,1.6,10.6,271.4,9,62,0,34,39,25,182,2.3,15.8,195.8,,21.2,72,nan,25,31,5,10,6.7,9,31,32,32,29.4,nan,nan,nan,nan,nan,181.8,"3,14,15,16,17,18"
4/2/2023,30.8,79,0,32,37,26,39,0,nan,348,2.7,13.2,297.6,9,61,0,28,43,21,190,1.5,8.3,231,,21.5,75,nan,16,32,4,10.3,6.7,8.8,31,32,32,28.7,nan,nan,nan,nan,nan,202.3,"3,14,15,16,17,18"
4/3/2023,30.8,79,0,32,38,26,39,0,nan,98,3.1,16.9,215,9,60,0,29,38,24,183,1.5,10.2,169.9,,21.5,74,nan,17,31,-4,9.9,6.6,8.8,31,32,32,29.1,nan,nan,nan,nan,nan,170.5,"3,14,15,16,17,18"
4/4/2023,30.8,78,0.1,30,34,28,39.5,0.1,100,107,1.3,10.7,108,,59,0.1,30,37,27,189,0.4,3,122.8,,21.8,74,nan,28,34,22,10,6.6,8.6,31,32,32,29.5,nan,nan,nan,nan,nan,156.5,"3,14,15,16,17,18"
4/5/2023,30.9,78,0.4,32,36,29,39.6,0.5,125,351,1.2,10.3,101.5,,62,0,34,43,28,200,0.4,9.7,208.9,,21.8,73,nan,28,35,22,10,6.4,8.6,31,32,32,29.9,nan,nan,nan,nan,nan,116.8,"3,14,15,16,17,18"
4/6/2023,31.4,83,0.4,32,38,27,37.8,0.6,150,187,1.2,7,145.6,,60,0.1,33,38,26,200,0.5,4.9,93.8,,22,75,nan,27,36,13,10,6.5,8.3,31,32,32,29.3,nan,nan,nan,nan,nan,112.7,"3,14,15,16,17,18"
4/7/2023,32,82,0,29,36,26,39,0,nan,108,3.8,13.3,326.2,9,59,0,29,41,21,191,0.9,4,170.1,,22,74,nan,19,33,2,10,6.3,8.1,31,32,32,29.7,nan,nan,nan,nan,nan,231.3,"3,14,15,16,17,18"
